NAME,crop0809,crop0910,crop1011,crop1112,crop1213,crop1314,crop1415,crop1516,crop1617
Stephens County,-0.058419026,0.11548275,-0.082118335,-0.002477933,0.012483562,0.030254838,-0.108447925,-0.007546928,0.00901423
Sterling County,-0.010261653,0.002276437,-0.006447774,-0.000571931,0.010067121,-0.001679296,-0.012216379,-0.00011401,-0.000787911
Stonewall County,0.020057831,-0.057723188,0.029373443,0.015373215,-0.025568278,0.090644645,-0.055689764,-0.005229506,-0.011221782
Swisher County,-0.002614991,0.03023289,-0.026223983,0.006283231,-0.005367329,-0.00163543,-0.003899338,0.005730372,0.000779713
Medina County,0.0140014,-0.030807664,-0.018893506,-0.011465515,0.038246331,-0.004057834,-0.061260163,-0.000855624,-0.001214173
Midland County,0.012690458,-0.010528191,0.015950229,-0.017395592,0.005346534,0.016436768,-0.025212957,0.006288408,-0.003444679
Milam County,-0.022863755,-0.01070358,-0.026563229,0.017460102,-0.011549378,0.016830599,-0.0598857,-0.006995264,0.019731547
Mitchell County,-0.044950649,-0.005734167,-0.002100707,0.042033486,0.0015411,0.001196989,-0.121004052,0.013970061,-0.002221734
Montague County,-0.001563996,0.064662678,-0.070731632,0.002961333,-0.001917311,0.004581251,-0.065287461,0.013508581,0.02327772
Motley County,-0.042202372,-0.017106195,0.018827487,0.005954835,-0.001978275,0.02976329,-0.138855566,0.007252035,0.002502772
Newton County,0.006087306,0.07377281,-0.067017313,0.000640458,0.009493713,-0.014859579,-0.024233853,0.003892296,0.001487622
Nolan County,-0.006068528,-0.006961261,-0.0101497,0.013667021,-0.000677534,0.000322798,-0.009567599,-0.006279925,-0.002418514
Ochiltree County,0.011363664,0.003836963,-0.019160973,0.006213776,-0.010115459,0.001077892,-0.028021036,-0.002410119,0.000290289
Oldham County,-0.000222414,0.064982954,-0.047132239,0.019147935,-0.042867962,0.026708377,-0.170755773,0.035127228,0.023379579
Orange County,-0.012595711,0.020060481,-0.012628673,-0.008035179,0.012068334,0.004632863,-0.025824093,0.000595131,0.003271387
Palo Pinto County,-0.015262719,0.029949286,-0.015645644,-0.014316688,0.009575605,0.052312698,-0.102331722,-0.021779504,0.032950984
Panola County,0.002894837,-0.010472101,0.002370619,-0.011378377,0.008059596,0.021634276,-0.045048525,0.004941363,-0.001590003
Parmer County,0.00108037,0.020546261,-0.023192224,0.006819834,-0.003917911,-0.000893111,-0.000263026,-0.000803996,0.002761381
Potter County,0.009529377,0.037621516,-0.071989688,0.006703806,-0.013323565,0.012539626,-0.159705637,0.047363085,0.016907823
Presidio County,-0.006612305,-0.011584533,0.01566999,-0.003543481,0.007111655,-0.001554734,-0.064864988,0.011787301,-0.00505649
